SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
5285,03/13/2020,,Kenya,1,0,0
5617,03/14/2020,,Kenya,1,0,0
5873,03/15/2020,,Kenya,3,0,0
6106,03/16/2020,,Kenya,3,0,0
6389,03/17/2020,,Kenya,3,0,0
6669,03/18/2020,,Kenya,3,0,0
6941,03/19/2020,,Kenya,7,0,0
7240,03/20/2020,,Kenya,7,0,0
7543,03/21/2020,,Kenya,7,0,0
7698,03/22/2020,,Kenya,15,0,0
7996,03/23/2020,,Kenya,16,0,0
8291,03/24/2020,,Kenya,25,0,0
8591,03/25/2020,,Kenya,28,0,1
8893,03/26/2020,,Kenya,31,1,1
9200,03/27/2020,,Kenya,31,1,1
9507,03/28/2020,,Kenya,38,1,1
9818,03/29/2020,,Kenya,42,1,1
10130,03/30/2020,,Kenya,50,1,1
10443,03/31/2020,,Kenya,59,1,1
10756,04/01/2020,,Kenya,81,1,3
11069,04/02/2020,,Kenya,110,3,4
11384,04/03/2020,,Kenya,122,4,4
11699,04/04/2020,,Kenya,126,4,4
12015,04/05/2020,,Kenya,142,4,4
12334,04/06/2020,,Kenya,158,6,4
12654,04/07/2020,,Kenya,172,6,7
12974,04/08/2020,,Kenya,179,6,9
13294,04/09/2020,,Kenya,184,7,12
13614,04/10/2020,,Kenya,189,7,22
13935,04/11/2020,,Kenya,191,7,24
14256,04/12/2020,,Kenya,197,8,25
14576,04/13/2020,,Kenya,208,9,40
14896,04/14/2020,,Kenya,216,9,41
15216,04/15/2020,,Kenya,225,10,53
15536,04/16/2020,,Kenya,234,11,53
15856,04/17/2020,,Kenya,246,11,53
16176,04/18/2020,,Kenya,262,12,60
16496,04/19/2020,,Kenya,270,14,67
16816,04/20/2020,,Kenya,281,14,69
17136,04/21/2020,,Kenya,296,14,74
17456,04/22/2020,,Kenya,303,14,74
17775,04/23/2020,,Kenya,320,14,89
18095,04/24/2020,,Kenya,336,14,94
18414,04/25/2020,,Kenya,343,14,98
18733,04/26/2020,,Kenya,355,14,106
19052,04/27/2020,,Kenya,363,14,114
19373,04/28/2020,,Kenya,374,14,124
19694,04/29/2020,,Kenya,384,15,129
20016,04/30/2020,,Kenya,396,17,144
20339,05/01/2020,,Kenya,411,21,150
20662,05/02/2020,,Kenya,435,22,152
20985,05/03/2020,,Kenya,465,24,167
21308,05/04/2020,,Kenya,490,24,173
21631,05/05/2020,,Kenya,535,24,182
21954,05/06/2020,,Kenya,582,26,190
22277,05/07/2020,,Kenya,607,29,197
22600,05/08/2020,,Kenya,621,29,202
22923,05/09/2020,,Kenya,649,30,207
23246,05/10/2020,,Kenya,672,32,239
23569,05/11/2020,,Kenya,700,33,251
23892,05/12/2020,,Kenya,715,36,259
24215,05/13/2020,,Kenya,737,40,281
24537,05/14/2020,,Kenya,758,42,284
24914,05/15/2020,,Kenya,781,45,284
25291,05/16/2020,,Kenya,830,50,301
25668,05/17/2020,,Kenya,887,50,313
26045,05/18/2020,,Kenya,912,50,336
26422,05/19/2020,,Kenya,963,50,358
26798,05/20/2020,,Kenya,1029,50,366
27250,05/21/2020,,Kenya,1109,50,375
27702,05/22/2020,,Kenya,1161,50,380
28154,05/23/2020,,Kenya,1192,50,380
28606,05/24/2020,,Kenya,1214,51,383
29058,05/25/2020,,Kenya,1286,52,402
29510,05/26/2020,,Kenya,1348,52,405
29962,05/27/2020,,Kenya,1471,55,408
30412,05/28/2020,,Kenya,1618,58,421
30965,05/29/2020,,Kenya,1745,62,438
31519,05/30/2020,,Kenya,1888,63,464
32074,05/31/2020,,Kenya,1962,64,478
32629,06/01/2020,,Kenya,2021,69,482
33293,06/02/2020,,Kenya,2093,71,499
33956,06/03/2020,,Kenya,2216,74,553
34620,06/04/2020,,Kenya,2340,78,592
35284,06/05/2020,,Kenya,2474,79,643
35968,06/06/2020,,Kenya,2600,83,706
36652,06/07/2020,,Kenya,2767,84,752
37336,06/08/2020,,Kenya,2872,85,849
38020,06/09/2020,,Kenya,2989,88,873
38703,06/10/2020,,Kenya,3094,89,1048
39428,06/11/2020,,Kenya,3215,92,1092
40157,06/12/2020,,Kenya,3305,96,1164
40886,06/13/2020,,Kenya,3457,100,1221
41615,06/14/2020,,Kenya,3594,103,1253
42344,06/15/2020,,Kenya,3727,104,1286
43073,06/16/2020,,Kenya,3860,105,1328
43802,06/17/2020,,Kenya,4044,107,1353
44531,06/18/2020,,Kenya,4257,117,1459
45260,06/19/2020,,Kenya,4374,119,1550
45989,06/20/2020,,Kenya,4478,121,1586
46718,06/21/2020,,Kenya,4738,123,1607
47447,06/22/2020,,Kenya,4797,125,1680
48176,06/23/2020,,Kenya,4952,128,1782
48905,06/24/2020,,Kenya,5206,130,1823
49634,06/25/2020,,Kenya,5384,132,1857
50363,06/26/2020,,Kenya,5533,137,1905
51092,06/27/2020,,Kenya,5811,141,1936
51821,06/28/2020,,Kenya,6070,143,1971
52550,06/29/2020,,Kenya,6190,144,2013
53279,06/30/2020,,Kenya,6366,148,2039
54008,07/01/2020,,Kenya,6673,149,2089
54737,07/02/2020,,Kenya,6941,152,2109
55466,07/03/2020,,Kenya,7188,154,2148
56195,07/04/2020,,Kenya,7577,159,2236
56924,07/05/2020,,Kenya,7886,160,2287
57653,07/06/2020,,Kenya,8067,164,2414
58382,07/07/2020,,Kenya,8250,167,2504
59111,07/08/2020,,Kenya,8528,169,2593
59840,07/09/2020,,Kenya,8975,173,2657
60569,07/10/2020,,Kenya,9448,181,2733
61298,07/11/2020,,Kenya,9726,184,2832
62027,07/12/2020,,Kenya,10105,185,2881
62756,07/13/2020,,Kenya,10294,197,2946
63485,07/14/2020,,Kenya,10791,202,3017
64214,07/15/2020,,Kenya,11252,209,3068
64943,07/16/2020,,Kenya,11673,217,3638
65672,07/17/2020,,Kenya,12062,222,3983
